fouc,f**k off you c**t 
kig,keep it going
drc,don't really care
th@,that
ommfg,oh my mother f**king god
joor,your
lyk3,like
thz,thank you
wtbd,what's the big deal
thx,thank you
fker,f**ker
min,minute
lolpimp,Laughing out loud peeing in my pants
thr,there
tl;dr,too long; didn't read
yas,you are stupid
tho,though
miltf,Mom I'd like to f**k
neday,any day
jooc,just out of curiosity
sgtm,slightly gigling to myself
myodb,mind your own d**n business
wthauwf,what the hell are you waiting for
dadt,Don't ask. Don't tell.
ne1,anyone
probly,probably
tha,the
epa,Emergency Parent Alert
icbyst,i cant believe you said that
juss,just
bb4n,Bye-bye for now
l8t,later
bb4h,bros before hoes
l8r,see you later
goomh,get out of my head
yea,yeah
noty,no thank you
fxp,file exchange protocol
wwyd2m,what would you do to me
n e,any
psbms,parent standing by my side
lmaomtoaoa,Laugh my a** off many times over and over again
l8a,later
kthx,ok, thank you
fmfl,f**k my f**king life
sleepn,sleeping
upia,unsolicited pencil in anus
is2g,i swear to god
thankx,thank you
stg,swear to god
ywic,why would i care
hai,hello
wtfdik,what the f**k do i know
hak,here's a kiss
qte,cutie
elo,hello
han,how about now
lolvq,laugh out loud very quietly
1sec,one second
bnr,banner
u4i,up for it
b/s/l,Bisexual/Straight/Lesbian
istr,I seem to remember
rsps,Runescape Private Server
hax,Hacks
5o,police
5n,fine
str8up,straight up
stfuogtfo,Shut the f**k up or get the f**k out.
rts,Real-time strategy
bng,being
hau,How Are You
hav,have
53x,sex
roflol,rolling on floor laughing out loud
bbol,be back online later
yur,your
brt,be right there
stpd,stupid
mayb,maybe
xs,excess
gtfu,grow the f**k up
lmmfao,laughing my mother f**king a** off
m8s,mates
tmrw,Tomorrow
miq,make it quick
lmmfas,laugh my mother f**kin a** off
roflmgdao,rolling on the floor laughing my god d**n a** off
ibcd,Idiot between chair & desk
nnfaa,no need for an apology
nafkam,Not Away From Keyboard Any More
tmrz,tomorrow
rnt,aren't
yqw,you're quite welcome
gbnf,Gone but not forgotten 
tilf,Teenager I'd Like To f**k
tliwwv,this link is worthless without video
cexy,sexy
xp,experience
u've,You've
sfipmp,so funny I peed my pants
any1,Anyone
icbiwoop,I chuckled, but it was out of pity.
n2mu,not too much, you?
nimby,not in my backyard
wyhi,Would You Hit It?
nmhwby,nothing much here what about you
tmmrw,tomorrow
lmsao,laughing my sexy a** off
nofi,No Flame Intended
rotflmbo,rolling on the floor laughing my butt off
g2gpp,got to go pee pee
teh,the
idgac,i don't give a crap
idgad,I don't give a d**n
pwned,made to look bad
idgaf,i don't give a f**k
pl8,plate
mtc,more to come
@$$hole,a**h**e
sploitz,exploits
g2gpc,got 2 go parents coming
ntstt,not safe to talk 
wwc,who would care
gypo,Get Your Penis Out
nevm,never mind
yolt,you only live twice
bord,bored
n00bs,newbies
wha,what?
wtharud,what the heck are you doing
fov,Field of View
sux2bu,sucks to be you
shut^,shut Up
idkymb2,I didn't know yoru mom blogs too
rubz2nt,are you busy tonight
fos,full of s**t
anim8,animate
icb,I can't believe
yki,You know it
fmph,f**k my p***y hard
brbs,be right back soon
ilylc,i love you like crazy
brb,be right back
otp,on the phone
oh noes,oh s**t!
brbl,be right back later
lhsrn,let's have sex right now
fo`,for
cnc,Command and Conquer
fob,fresh off the boat
sfw,safe for work
fol,farting out loud
icr,I can't rememer
foo,fool
icw,I care why?
wsop,world series of poker
icu,i see you
gsfg,Go search f**king google
f.m.l.,f**k my life
pking,player killing
sfu,shut the f**k up
lobfl,Laugh Out Bloody f**king Loud
wtrud,what are you doing
g2bg,got to be going
m$,Microsoft
sfr,so f**king random
bfam,brother from another mother
plz,please
mmatp,meet me at the park
plx,please/thanks
hsr,homestar runner
hss,horse s**t and splinters
promos,promotions
wutevr,what ever
kthxbai,ok thanks bye!
q2c,quick to c**
tk2ul,talk to you later
liyf,laughing in your face
onyd,oh no you didn't
mmatc,meet me around the corner
ihurg,i hate your guts
obo,or best offer
obl,osama bin laden
f/o,f**k off
obj,Object
bytch,b***h
wubmgf,Will You Be My Girlfriend?
swt,sweet
oe,or else
www,world wide web
jklol,Just Kidding Laughing Out Loud
pnhlgd,parents not home, let's get dirty
whtevr,whatever
o,Oh
cbfed,can't be f**ked
tgwig,thank god wife is gone
ptfo,passed the f**k out
yduwtk,why do you want to know
sk8ter,skater
obv,obviously
ru,are you
tbqh,to be quite honest
sxcy,sexy
snafubar,Situation Normal All f**ked Up Beyond Any Recognition
mtl,more than likely
soa,service oriented architecture 
liec,like i even care
soc,Same old crap
sob,son of a b***h
s.i.n.g.l.e,Stay intoxicated nightly, get laid everyday.
whr,where
od,over dose
soi,service oriented infrastructure
liek,like
lggd,let's go get drunk
whs,wanna have sex
ijr,i just remembered
soo,So
ppl,people
sop,same old place
sos,same old s**t
ferr,For
sot,suck on this
cuom,see you on monday
soz,sorry
atfp,answer the f**king phone
b0rked,broken
uayor,Use At Your Own Risk
giv,give
wam,wait a minute
tlkn,talking
dewd,Dude
gir,google it retard
wai,what an idiot
lolocost,laugh out loud
waf,weird as f**k
tmaai,tell me all about it
nevr,never
wab,what a b***h
cwot,complete waste of time
omdz,Oh My Days 
gaalma,go away and leave me alone
waz,what is
thwdi,thats how we do it
tmoro,tomorrow
ur6c,you're sexy
fuh-q,f**k you
wat,what
mwsmirl,maybe we should meet in real life
yid,yes, I do
rele,really
g2p,got to pee
inmp,it's not my problem
wtfayd,what the f**k are you doing
wysitwirl,what you see is totally worthless in real life
frgt,forgot
z0mg,oh my god
ure,you are
oll,online love
m2,me too
bffene,Best Friends For Ever And Ever
mpty,more power to you
yaaf,you are a f**
ilu2,I love you too
urg,you are gay
ttm,talk to me
aypi,and your point is
beech,b***h
iswydt,i see what you did there
s8ter,skater
kiled,killed
wswta,What shall we talk about?
snogged,kissed
sktr,skater
lolin,laughing out loud
p33n,penis
rb@u,right back at you
azn,asian
mtr,matter
mfah,motherf**king a**h**e
ttywl,Talk to you way later
abwt,about
beyatch,b***h
lq2m,laughing quietly to myself
lawd,lord
azz,a**
tisc,that is so cool
afcpmgo,away from computer parents may go on
ttihlic,try to imagine how little i care
attotp,At The Time Of This Post
n2bb,nice to be back
attn,attention
whyd,What Have You Done
ofcol,oh for crying out loud
mtf,More to Follow
mtg,Meeting
s.o.b.,son of a b***h
a1t,anyone there
z'omg,Oh my God
wtvr,whatever
lgbnaf,lets get butt naked and f**k
fomofo,f**k off mother f**ker
gtgtpirio,got to go the price is right is on
goyhh,get off your high horse
watevr,whatever
kmsl,killing myself laughing
kwik,quick
rr,rest room
shiz,s**t
h+k,hugs and kisses
ddos,Distributed Denial of Service
secksy,sexy
t2ul,talk to you later
kwis,Know what I'm saying?
vwd,very well done
2h4u,too hot for you
iyam,if you ask me
loomm,laughing out of my mind
kwiz,quiz
ilymtyk,i love you more than you know
ni,no idea
leet,elite
idgas,i don't give a s**t
tix,tickets
nm,not much
lylas,I love you like a sister
xover,crossover
na,not applicable
nb,not bad
nc,not cool
nd,and
ne,any
nf,not funny
ng,nice game
mmk,umm, ok
c2tc,cut to the chase
miself,myself
wudn,what you doing now
jms,just making sure
